"Block" "Weight" "C.lingua" "R.roscovita" "Amount.eaten"
"1" 1 2.33 0 1 0.29
"2" 1 1.95 0 1 0.36
"3" 1 1.54 1 1 0.18
"4" 1 2.25 0 1 0.27
"5" 1 3.09 0 0 0.5
"6" 1 1.78 1 1 0.15
"7" 1 2.18 0 1 0.25
"8" 1 1.8 0 0 0.51
"9" 1 1.68 1 0 0.28
"10" 1 2.97 0 0 0.78
"11" 1 3.37 0 1 0.35
"12" 1 2.59 0 1 2.02
"13" 1 2.21 1 1 0.16
"14" 1 2.46 1 1 0.17
"15" 1 3.16 0 0 0.53
"16" 1 2.21 1 1 0.19
"17" 1 1.86 1 0 0.41
"18" 1 2.92 0 1 0.39
"19" 1 2.4 1 1 0.12
"20" 1 2.29 0 0 0.58
"21" 1 2.63 0 1 0.26
"22" 1 2.17 0 0 0.24
"23" 1 3.2 1 0 0.28
"24" 1 1.78 1 1 0.17
"25" 1 2.58 0 1 0.4
"26" 1 0.33 1 0 0.37
"27" 1 2.77 0 1 0.27
"28" 1 3.02 1 0 0.29
"29" 1 2.25 1 1 0.16
"30" 1 2.46 1 1 0.15
"31" 2 2.23 0 1 0.52
"32" 2 2.51 1 1 0.13
"33" 2 1.37 0 1 0.33
"34" 2 2.15 0 0 0.48
"35" 2 3.04 0 1 0.33
"36" 2 1.59 0 1 0.39
"37" 2 2.84 1 1 0.23
"38" 2 1.19 0 1 0.33
"39" 2 1.88 0 1 0.4
"40" 2 2.62 0 0 0.41
"41" 2 3.09 1 0 0.4
"42" 2 1.68 1 0 0.09
"43" 2 2.88 0 1 0.17
"44" 2 2.16 1 0 0.42
"45" 2 2.33 1 0 0.24
"46" 2 3.18 0 0 0.67
"47" 2 2.23 1 1 0.14
"48" 2 1.2 0 1 0.22
"49" 2 2.57 0 0 0.76
"50" 2 1.96 0 1 0.35
"51" 2 2.42 0 1 0.36
"52" 2 2.72 0 1 0.18
"53" 2 2.2 1 1 0.24
"54" 2 2.62 0 0 0.4
"55" 2 2.56 1 0 0.27
"56" 2 3.35 0 1 0.45
"57" 2 3.05 1 1 0.18
"58" 3 2.14 0 0 0.59
"59" 3 2.81 0 1 0.48
"60" 3 2.45 0 0 0.62
"61" 3 2.77 1 1 0.25
"62" 3 2.57 0 0 0.84
"63" 3 2.02 1 1 0.2
"64" 3 1.97 1 0 0.32
"65" 3 4.02 1 0 0.43
"66" 3 2.15 1 1 0.2
"67" 3 3.14 0 1 0.29
"68" 3 2.1 1 0 0.36
"69" 3 1.44 1 1 0.1
"70" 3 2.47 0 1 0.14
"71" 3 1.02 1 0 0.15
"72" 3 1.38 0 1 0.25
"73" 3 2.61 1 1 0.2
"74" 3 2.28 0 1 0.18
"75" 3 1.71 0 0 0.62
"76" 3 2.19 1 1 0.21
"77" 3 2.91 0 0 0.49
"78" 3 1.91 0 1 0.37
"79" 3 3.89 1 1 0.2
"80" 3 1.91 0 0 0.53
"81" 3 2.92 1 1 0.26
"82" 3 2.41 0 1 0.24
"83" 3 1.57 0 0 0.67
"84" 3 1.23 0 1 0.15
"85" 3 2.59 1 1 0.16
"86" 3 3.13 1 1 0.15
"87" 3 2.23 1 0 0.28
"88" 3 2.93 1 1 0.21
"89" 3 2.54 1 1 0.23
"90" 3 2.02 1 0 0.35
"91" 3 2.34 1 0 0.46
